,md5hash,fitzpatrick,fitzpatrick_centaur,label,nine_partition_label,three_partition_label,qc,url,url_alphanum,low,mid,high,hasher,REWT_weights,RESM_weights,skin_tone
6779,e79982b6153f9b7d00faef979bc9a33c,3,3,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/o/oslers-nodes/oslers-nodes1.jpg,httpwwwdermaamincomsiteimagesclinicalpicooslersnodesoslersnodes1jpg.jpg,93,4,2,e79982b6153f9b7d00faef979bc9a33c,1.0162008279234411,0.0004206983592763,light
1678,c273d2ad583d0c0d4031734914ca6c76,4,4,2,benign melanocyte,benign,,https://www.dermaamin.com/site/images/clinical-pic/c/congential_nevus/congential_nevus57.jpg,httpwwwdermaamincomsiteimagesclinicalpicccongentialnevuscongentialnevus57jpg.jpg,14,2,0,c273d2ad583d0c0d4031734914ca6c76,1.0222169884847945,0.0027247956403269,dark
8917,50320d3ed1d18dcc095c8e0a75fbaf9f,4,3,2,benign melanocyte,benign,,https://www.dermaamin.com/site/images/clinical-pic/h/halo_naevus/halo_naevus32.jpg,httpwwwdermaamincomsiteimagesclinicalpichhalonaevushalonaevus32jpg.jpg,37,2,0,50320d3ed1d18dcc095c8e0a75fbaf9f,1.0222169884847945,0.0027247956403269,dark
122,dd893347ecc0a38a1460a1492c479f83,1,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/u/urticaire/urticaire13.jpg,httpwwwdermaamincomsiteimagesclinicalpicuurticaireurticaire13jpg.jpg,109,4,2,dd893347ecc0a38a1460a1492c479f83,1.049710400126734,0.0004878048780487,light
8920,bb50db007a517645b895d1dde3b3714f,2,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/I/irritant-contact-dermatitis/irritant-contact-dermatitis19.jpg,httpwwwdermaamincomsiteimagesclinicalpicIirritantcontactdermatitisirritantcontactdermatitis19jpg.jpg,6,4,2,bb50db007a517645b895d1dde3b3714f,1.0341127806575112,0.0002945508100147,light
6705,4b64778ad3a274af138c1a4a269d0e69,2,1,7,malignant epidermal,malignant,,https://www.dermaamin.com/site/images/clinical-pic/s/solid-cysticbasalcell-carcinoma/solid-cysticbasalcell-carcinoma7.jpg,httpwwwdermaamincomsiteimagesclinicalpicssolidcysticbasalcellcarcinomasolidcysticbasalcellcarcinoma7jpg.jpg,97,7,1,4b64778ad3a274af138c1a4a269d0e69,0.8741153030106127,0.0013477088948787,light
13000,06485f95f9148e3bf9b5bfb5ebff5d31,3,1,3,genodermatoses,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=2410,httpwwwatlasdermatologicocombrimgimageId2410.jpg,36,3,2,06485f95f9148e3bf9b5bfb5ebff5d31,1.0162008279234411,0.0004206983592763,light
12592,3d0b84fcf22339dc7c40a442426bea76,3,3,3,genodermatoses,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=2424,httpwwwatlasdermatologicocombrimgimageId2424.jpg,36,3,2,3d0b84fcf22339dc7c40a442426bea76,1.0162008279234411,0.0004206983592763,light
6173,35b2cbb029d3a2347fa95cee11fc14b9,1,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis21.jpg,httpwwwdermaamincomsiteimagesclinicalpicaallergiccontactdermatitisallergiccontactdermatitis21jpg.jpg,6,4,2,35b2cbb029d3a2347fa95cee11fc14b9,1.049710400126734,0.0004878048780487,light
10949,61a7d5febb3de55d69b7133496d73c40,2,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/subacute-cutaneous-lupus-erythematosus/subacute-cutaneous-lupus-erythematosus3.jpg,httpwwwdermaamincomsiteimagesclinicalpicssubacutecutaneouslupuserythematosussubacutecutaneouslupuserythematosus3jpg.jpg,51,4,2,61a7d5febb3de55d69b7133496d73c40,1.0341127806575112,0.0002945508100147,light
10765,095be91bd58277c15f832e802e0b4e02,2,2,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis39.jpg,httpwwwdermaamincomsiteimagesclinicalpicaallergiccontactdermatitisallergiccontactdermatitis39jpg.jpg,6,4,2,095be91bd58277c15f832e802e0b4e02,1.0341127806575112,0.0002945508100147,light
10510,5f8b20a3b31673cb8b5484ea14f306a4,1,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/acne_cystic/acne_cystic15.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacnecysticacnecystic15jpg.jpg,1,4,2,5f8b20a3b31673cb8b5484ea14f306a4,1.049710400126734,0.0004878048780487,light
3260,a7d0b2c1076be24688faa59d0435307b,4,5,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_rubra_pilaris/pityriasis_rubra_pilaris63.jpg,httpwwwdermaamincomsiteimagesclinicalpicppityriasisrubrapilarispityriasisrubrapilaris63jpg.jpg,80,4,2,a7d0b2c1076be24688faa59d0435307b,0.9610471985102512,0.0004732607666824,dark
7696,f0bad4eac2969ce9efe3116bda407e70,2,1,7,malignant epidermal,malignant,,https://www.dermaamin.com/site/images/clinical-pic/e/eruptive_xanthoma/eruptive_xanthoma7.jpg,httpwwwdermaamincomsiteimagesclinicalpiceeruptivexanthomaeruptivexanthoma7jpg.jpg,98,7,1,f0bad4eac2969ce9efe3116bda407e70,0.8741153030106127,0.0013477088948787,light
8894,94e8bf31454edf5e42614f47959f8548,3,3,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/lupus_erythematosus_chronicus_discoides/lupus_erythematosus_chronicus_discoides9.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlupuserythematosuschronicusdiscoideslupuserythematosuschronicusdiscoides9jpg.jpg,51,4,2,94e8bf31454edf5e42614f47959f8548,1.0162008279234411,0.0004206983592763,light
8389,da2990238533feb26d7d0b8f61a6f528,3,3,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/I/inverse_psoriasis/inverse_psoriasis4.jpg,httpwwwdermaamincomsiteimagesclinicalpicIinversepsoriasisinversepsoriasis4jpg.jpg,86,4,2,da2990238533feb26d7d0b8f61a6f528,1.0162008279234411,0.0004206983592763,light
4681,c44e25fd99c63aff7bf21ccb01e9330a,3,3,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/staphylococcal-folliculitis/staphylococcal-folliculitis3.jpg,httpwwwdermaamincomsiteimagesclinicalpicsstaphylococcalfolliculitisstaphylococcalfolliculitis3jpg.jpg,32,4,2,c44e25fd99c63aff7bf21ccb01e9330a,1.0162008279234411,0.0004206983592763,light
3344,64c52788102a79ad6e964594f4eca301,2,-1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/e/eczema_atopic/eczema_atopic43.jpg,httpwwwdermaamincomsiteimagesclinicalpiceeczemaatopiceczemaatopic43jpg.jpg,22,4,2,64c52788102a79ad6e964594f4eca301,1.0341127806575112,0.0002945508100147,light
13388,5f6bf606eaef0ac72ec1132558e8160a,3,5,7,malignant epidermal,malignant,,http://atlasdermatologico.com.br/img?imageId=6848,httpwwwatlasdermatologicocombrimgimageId6848.jpg,98,7,1,5f6bf606eaef0ac72ec1132558e8160a,0.9786081491512943,0.0021929824561403,light
962,36795d14c4c8da5a070930476770ccb7,6,6,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/lupus_erythematosus_chronicus_discoides/lupus_erythematosus_chronicus_discoides3.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlupuserythematosuschronicusdiscoideslupuserythematosuschronicusdiscoides3jpg.jpg,51,4,2,36795d14c4c8da5a070930476770ccb7,0.8748650776068891,0.0018867924528301,dark
9720,a267188f54257d4f11937ace17a7e6bd,1,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris283.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacnevulgarisacnevulgaris283jpg.jpg,2,4,2,a267188f54257d4f11937ace17a7e6bd,1.049710400126734,0.0004878048780487,light
3062,318c1c68fbf43892f05191ea20e618cb,3,1,8,malignant melanoma,malignant,,https://www.dermaamin.com/site/images/clinical-pic/m/melanoma/melanoma21.jpg,httpwwwdermaamincomsiteimagesclinicalpicmmelanomamelanoma21jpg.jpg,56,8,1,318c1c68fbf43892f05191ea20e618cb,0.9786081491512943,0.0021929824561403,light
1362,32e234dae1b6022f2c1691572cb65109,2,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/polymorphic_light_eruption/polymorphic_light_eruption54.jpg,httpwwwdermaamincomsiteimagesclinicalpicppolymorphiclighteruptionpolymorphiclighteruption54jpg.jpg,75,4,2,32e234dae1b6022f2c1691572cb65109,1.0341127806575112,0.0002945508100147,light
5697,83026368073a72c2c61fb53bab7e50c8,2,1,1,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/e/epidermal_naevus/epidermal_naevus88.jpg,httpwwwdermaamincomsiteimagesclinicalpiceepidermalnaevusepidermalnaevus88jpg.jpg,24,1,0,83026368073a72c2c61fb53bab7e50c8,0.9666073842531664,0.0014903129657228,light
5539,758c500ff6ec8a726f5ae6175689d624,1,1,8,malignant melanoma,malignant,1 Diagnostic,https://www.dermaamin.com/site/images/clinical-pic/L/lentigo-maligna/lentigo-maligna52.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlentigomalignalentigomaligna52jpg.jpg,46,8,1,758c500ff6ec8a726f5ae6175689d624,0.8775868429803475,0.0022075055187637,light
14139,6676b11edb14bf4e7502b842346529cf,2,1,4,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=5199,httpwwwatlasdermatologicocombrimgimageId5199.jpg,73,4,2,6676b11edb14bf4e7502b842346529cf,1.0341127806575112,0.0002945508100147,light
1862,e475f1c5ef90976fa8cae492e6f395cd,1,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/sweet-syndrome/sweet-syndrome52.jpg,httpwwwdermaamincomsiteimagesclinicalpicssweetsyndromesweetsyndrome52jpg.jpg,68,4,2,e475f1c5ef90976fa8cae492e6f395cd,1.049710400126734,0.0004878048780487,light
9254,23090f6816110dc218e3e12d8fe5286f,1,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris10.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacnevulgarisacnevulgaris10jpg.jpg,2,4,2,23090f6816110dc218e3e12d8fe5286f,1.049710400126734,0.0004878048780487,light
15032,05175d29ac2b49702ba01bc4952cdb1c,3,2,4,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=8364,httpwwwatlasdermatologicocombrimgimageId8364.jpg,3,4,2,05175d29ac2b49702ba01bc4952cdb1c,1.0162008279234411,0.0004206983592763,light
14769,1b81b6086fddd01aa36cdc454a7836b3,5,5,4,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=5722,httpwwwatlasdermatologicocombrimgimageId5722.jpg,80,4,2,1b81b6086fddd01aa36cdc454a7836b3,0.9123066013448348,0.0008149959250203,dark
5995,65c28e2286d997bf54ae87d367e6e70c,2,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis_guttate/psoriasis_guttate12.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasisguttatepsoriasisguttate12jpg.jpg,86,4,2,65c28e2286d997bf54ae87d367e6e70c,1.0341127806575112,0.0002945508100147,light
14183,f27f2aff07f470c5281c5f0beae28808,4,4,4,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=6288,httpwwwatlasdermatologicocombrimgimageId6288.jpg,86,4,2,f27f2aff07f470c5281c5f0beae28808,0.9610471985102512,0.0004732607666824,dark
5591,3e53c31b7ed75b74dd1fc69ea47b6ea9,2,1,0,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/s/syringoma/syringoma59.jpg,httpwwwdermaamincomsiteimagesclinicalpicssyringomasyringoma59jpg.jpg,104,0,0,3e53c31b7ed75b74dd1fc69ea47b6ea9,0.9666073842531664,0.0014903129657228,light
7467,f09d722b7a405f63f6ae4c1bea67faf4,2,1,0,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/d/dermatofibroma/dermatofibroma50.jpg,httpwwwdermaamincomsiteimagesclinicalpicddermatofibromadermatofibroma50jpg.jpg,16,0,0,f09d722b7a405f63f6ae4c1bea67faf4,0.9666073842531664,0.0014903129657228,light
10091,7181c387f2ecfb7382e0fc5a84ef3d78,3,5,3,genodermatoses,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/t/tuberous_sclerosis/tuberous_sclerosis17.jpg,httpwwwdermaamincomsiteimagesclinicalpicttuberoussclerosistuberoussclerosis17jpg.jpg,107,3,2,7181c387f2ecfb7382e0fc5a84ef3d78,1.0162008279234411,0.0004206983592763,light
6152,89a3cd4bb9ceae04b10e410dd9567f9e,5,5,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/d/drug_eruption/drug_eruption123.jpg,httpwwwdermaamincomsiteimagesclinicalpicddrugeruptiondrugeruption123jpg.jpg,19,4,2,89a3cd4bb9ceae04b10e410dd9567f9e,0.9123066013448348,0.0008149959250203,dark
444,545f0e8a6125523973e200172976448a,4,4,6,malignant dermal,malignant,,https://www.dermaamin.com/site/images/clinical-pic/k/kaposis-sarcoma/kaposis-sarcoma99.jpg,httpwwwdermaamincomsiteimagesclinicalpickkaposissarcomakaposissarcoma99jpg.jpg,42,6,1,545f0e8a6125523973e200172976448a,1.2463575906110285,0.0033222591362126,dark
5611,2bc1914b5f4b33f5695f6cd75834da53,2,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/X/xanthoma-disseminatum/xanthoma-disseminatum3.jpg,httpwwwdermaamincomsiteimagesclinicalpicXxanthomadisseminatumxanthomadisseminatum3jpg.jpg,112,4,2,2bc1914b5f4b33f5695f6cd75834da53,1.0341127806575112,0.0002945508100147,light
2099,220357a155bc3297e3f140d7b447348c,3,2,7,malignant epidermal,malignant,,https://www.dermaamin.com/site/images/clinical-pic/b/basal_cell_carcinomas_cystic/basal_cell_carcinomas_cystic48.jpg,httpwwwdermaamincomsiteimagesclinicalpicbbasalcellcarcinomascysticbasalcellcarcinomascystic48jpg.jpg,8,7,1,220357a155bc3297e3f140d7b447348c,0.9786081491512943,0.0021929824561403,light
4014,dffba80e4dd59850a0b713fc6f20c247,4,3,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/r/rosacea/rosacea40.jpg,httpwwwdermaamincomsiteimagesclinicalpicrrosacearosacea40jpg.jpg,90,4,2,dffba80e4dd59850a0b713fc6f20c247,0.9610471985102512,0.0004732607666824,dark
7790,57457ae8e356f220f472b0b57a5f6eaa,1,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/porphyria-cutanea-tarda/porphyria-cutanea-tarda23.jpg,httpwwwdermaamincomsiteimagesclinicalpicpporphyriacutaneatardaporphyriacutaneatarda23jpg.jpg,83,4,2,57457ae8e356f220f472b0b57a5f6eaa,1.049710400126734,0.0004878048780487,light
407,2d5892c47edb7b1e5721e4db54a9b80f,3,3,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/d/dermographic_urticaria/dermographic_urticaria23.jpg,httpwwwdermaamincomsiteimagesclinicalpicddermographicurticariadermographicurticaria23jpg.jpg,109,4,2,2d5892c47edb7b1e5721e4db54a9b80f,1.0162008279234411,0.0004206983592763,light
8239,36976021fb6bfb0c6ded26fcf3f6ef54,3,2,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/stasis-ulcer/stasis-ulcer8.jpg,httpwwwdermaamincomsiteimagesclinicalpicsstasisulcerstasisulcer8jpg.jpg,99,4,2,36976021fb6bfb0c6ded26fcf3f6ef54,1.0162008279234411,0.0004206983592763,light
11511,d5b2e11c9c5a86021274a11c9ee5b0fd,1,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis_guttate/psoriasis_guttate1.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasisguttatepsoriasisguttate1jpg.jpg,86,4,2,d5b2e11c9c5a86021274a11c9ee5b0fd,1.049710400126734,0.0004878048780487,light
494,4ac07b83e993297cb8ef4efa00212fce,1,2,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/acne_comedonal/acne_comedonal15.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacnecomedonalacnecomedonal15jpg.jpg,1,4,2,4ac07b83e993297cb8ef4efa00212fce,1.049710400126734,0.0004878048780487,light
10109,989e31253b81a0cad8b8772b278073c7,4,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/h/hidradenitis_suppurativa/hidradenitis_suppurativa73.jpg,httpwwwdermaamincomsiteimagesclinicalpichhidradenitissuppurativahidradenitissuppurativa73jpg.jpg,38,4,2,989e31253b81a0cad8b8772b278073c7,0.9610471985102512,0.0004732607666824,dark
14147,1194cfe17b436bd56e98d5deb35adc66,2,3,3,genodermatoses,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=1611,httpwwwatlasdermatologicocombrimgimageId1611.jpg,23,3,2,1194cfe17b436bd56e98d5deb35adc66,1.0341127806575112,0.0002945508100147,light
2882,bfc903d9c30f8fe5b14f24c2cd92fcf8,1,1,5,malignant cutaneous lymphoma,malignant,,https://www.dermaamin.com/site/images/clinical-pic/m/mycosis-fongoide/mycosis-fongoide58.jpg,httpwwwdermaamincomsiteimagesclinicalpicmmycosisfongoidemycosisfongoide58jpg.jpg,60,5,1,bfc903d9c30f8fe5b14f24c2cd92fcf8,0.8775868429803475,0.0022075055187637,light
4185,be5e60c47db941d5cfb49d82e0a37ba6,4,2,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/localized-scleroderma/localized-scleroderma1.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlocalizedsclerodermalocalizedscleroderma1jpg.jpg,93,4,2,be5e60c47db941d5cfb49d82e0a37ba6,0.9610471985102512,0.0004732607666824,dark
7862,a15505526ad3b3feeaf4c6e59128b1a8,2,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/g/grovers_disease_transient_acantholytic_dermatosis/grovers_disease_transient_acantholytic_dermatosis7.jpg,httpwwwdermaamincomsiteimagesclinicalpicggroversdiseasetransientacantholyticdermatosisgroversdiseasetransientacantholyticdermatosis7jpg.jpg,6,4,2,a15505526ad3b3feeaf4c6e59128b1a8,1.0341127806575112,0.0002945508100147,light
9919,c58acd350bf3511411cf6c28fcfa134d,3,2,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/e/eczema_hand/eczema_hand4.jpg,httpwwwdermaamincomsiteimagesclinicalpiceeczemahandeczemahand4jpg.jpg,22,4,2,c58acd350bf3511411cf6c28fcfa134d,1.0162008279234411,0.0004206983592763,light
1647,a20c63607e8c35e67e4706015599da42,1,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/e/erythema_multiforme/erythema_multiforme48.jpg,httpwwwdermaamincomsiteimagesclinicalpiceerythemamultiformeerythemamultiforme48jpg.jpg,28,4,2,a20c63607e8c35e67e4706015599da42,1.049710400126734,0.0004878048780487,light
15017,120ce42faf168cab856870e3e8614e2b,3,4,4,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=3153,httpwwwatlasdermatologicocombrimgimageId3153.jpg,64,4,2,120ce42faf168cab856870e3e8614e2b,1.0162008279234411,0.0004206983592763,light
1168,219304481c923a77216a54993ae06a44,2,2,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/e/eczema/eczema106.jpg,httpwwwdermaamincomsiteimagesclinicalpiceeczemaeczema106jpg.jpg,22,4,2,219304481c923a77216a54993ae06a44,1.0341127806575112,0.0002945508100147,light
10839,edce9bab731228e8240e613dd6e5e2ee,5,5,1,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/p/prurigo_nodularis/prurigo_nodularis56.jpg,httpwwwdermaamincomsiteimagesclinicalpicpprurigonodularisprurigonodularis56jpg.jpg,85,1,0,edce9bab731228e8240e613dd6e5e2ee,1.300628302358137,0.0062893081761006,dark
13310,2fd347d0b8d3412bb70e98de256d48d6,4,-1,4,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=6722,httpwwwatlasdermatologicocombrimgimageId6722.jpg,95,4,2,2fd347d0b8d3412bb70e98de256d48d6,0.9610471985102512,0.0004732607666824,dark
4385,37f6c602dbb4948db41c70d0ae69c260,2,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/e/eczema_atopic/eczema_atopic34.jpg,httpwwwdermaamincomsiteimagesclinicalpiceeczemaatopiceczemaatopic34jpg.jpg,22,4,2,37f6c602dbb4948db41c70d0ae69c260,1.0341127806575112,0.0002945508100147,light
926,97846367b5098d14df0331ba39357dd1,3,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis_chronic_plaque/psoriasis_chronic_plaque18.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasischronicplaquepsoriasischronicplaque18jpg.jpg,86,4,2,97846367b5098d14df0331ba39357dd1,1.0162008279234411,0.0004206983592763,light
